time measuring for thread_pool_executor
n_jobs = 1: 0.6987784910015762
n_jobs = 2: 0.7273861739668064
n_jobs = 3: 0.7298330339835957
n_jobs = 4: 0.7380480369902216
n_jobs = 5: 0.7385564520373009
n_jobs = 6: 0.74731404799968
n_jobs = 7: 0.7401866340078413
n_jobs = 8: 0.772299122007098
n_jobs = 9: 0.7538677009870298
n_jobs = 10: 0.7495088470168412
n_jobs = 11: 0.7357515519834124
n_jobs = 12: 0.7641666819690727
n_jobs = 13: 0.7512718130019493
n_jobs = 14: 0.7249782839789987
n_jobs = 15: 0.7589723410201259
n_jobs = 16: 0.8036985109793022
